model_code,structural_model,residual_error_model,estimation_setting,message,OBJF,AIC,BIC,runInfo
baseM1_comb,One-compartment oral model,Additive + proportional error,FOCEi + bobyqa + 1 thread + optExpression FALSE,Normal exit from bobyqa,405.5094452192507,875.465080622359,903.5401873153828,"gradient problems with covariance; see $scaleInfo | last objective function was not at minimum, possible problems in optimization | ETAs were reset to zero during optimization; (Can control by foceiControl(resetEtaP=.)) | initial ETAs were nudged; (can control by foceiControl(etaNudge=., etaNudge2=))"
baseM1_add,One-compartment oral model,Additive error,FOCEi + bobyqa + 1 thread + optExpression FALSE,Normal exit from bobyqa,421.80877389148316,889.7644092945915,914.3301276509873,"gradient problems with covariance; see $scaleInfo | last objective function was not at minimum, possible problems in optimization | ETAs were reset to zero during optimization; (Can control by foceiControl(resetEtaP=.)) | initial ETAs were nudged; (can control by foceiControl(etaNudge=., etaNudge2=))"
baseM1_prop,One-compartment oral model,Proportional error,FOCEi + bobyqa + 1 thread + optExpression FALSE,Normal exit from bobyqa,461.49408247301,929.4497178761183,954.015436232514,"gradient problems with covariance; see $scaleInfo | last objective function was not at minimum, possible problems in optimization | ETAs were reset to zero during optimization; (Can control by foceiControl(resetEtaP=.)) | initial ETAs were nudged; (can control by foceiControl(etaNudge=., etaNudge2=))"
